X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
650,6.52E+00,1.18E+01,,
651,6.60E+00,1.17E+01,,
652,6.60E+00,1.17E+01,,
653,6.52E+00,1.18E+01,,
654,6.60E+00,1.17E+01,,
655,6.52E+00,1.18E+01,,
656,6.60E+00,1.18E+01,,
657,6.52E+00,1.17E+01,,
658,6.60E+00,1.17E+01,,
659,6.52E+00,1.18E+01,,
660,6.60E+00,1.17E+01,,
661,6.52E+00,1.18E+01,,
662,6.60E+00,1.17E+01,,
663,6.56E+00,1.18E+01,,
664,6.60E+00,1.17E+01,,
665,6.52E+00,1.18E+01,,
666,6.56E+00,1.18E+01,,
667,6.60E+00,1.17E+01,,
668,6.52E+00,1.17E+01,,
669,6.60E+00,1.18E+01,,
670,6.52E+00,1.17E+01,,
671,6.60E+00,1.18E+01,,
672,6.60E+00,1.18E+01,,
673,6.52E+00,1.17E+01,,
674,6.60E+00,1.18E+01,,
675,6.52E+00,1.17E+01,,
676,6.60E+00,1.17E+01,,
677,6.52E+00,1.18E+01,,
678,6.52E+00,1.18E+01,,
679,6.60E+00,1.17E+01,,
680,6.52E+00,1.18E+01,,
681,6.60E+00,1.17E+01,,
682,6.60E+00,1.18E+01,,
683,6.52E+00,1.17E+01,,
684,6.60E+00,1.17E+01,,
685,6.52E+00,1.18E+01,,
686,6.60E+00,1.17E+01,,
687,6.52E+00,1.18E+01,,
688,6.60E+00,1.17E+01,,
689,6.52E+00,1.18E+01,,
690,6.52E+00,1.17E+01,,
691,6.60E+00,1.18E+01,,
692,6.52E+00,1.17E+01,,
693,6.60E+00,1.18E+01,,
694,6.60E+00,1.18E+01,,
695,6.52E+00,1.17E+01,,
696,6.52E+00,1.17E+01,,
697,6.60E+00,1.18E+01,,
698,6.52E+00,1.18E+01,,
699,6.60E+00,1.17E+01,,
700,6.60E+00,1.18E+01,,
701,6.52E+00,1.17E+01,,
702,6.52E+00,1.18E+01,,
703,6.60E+00,1.17E+01,,
704,6.52E+00,1.18E+01,,
705,6.60E+00,1.17E+01,,
706,6.52E+00,1.17E+01,,
707,6.60E+00,1.18E+01,,
708,6.52E+00,1.18E+01,,
709,6.60E+00,1.17E+01,,
710,6.60E+00,1.17E+01,,
711,6.52E+00,1.18E+01,,
712,6.52E+00,1.18E+01,,
713,6.60E+00,1.17E+01,,
714,6.61E+00,1.18E+01,,
715,6.57E+00,1.18E+01,,
716,6.65E+00,1.17E+01,,
717,6.57E+00,1.18E+01,,
718,6.65E+00,1.17E+01,,
719,6.57E+00,1.17E+01,,
720,6.65E+00,1.18E+01,,
721,6.57E+00,1.18E+01,,
722,6.57E+00,1.17E+01,,
723,6.65E+00,1.18E+01,,
724,6.57E+00,1.17E+01,,
725,6.65E+00,1.18E+01,,
726,6.65E+00,1.17E+01,,
727,6.57E+00,1.17E+01,,
728,6.57E+00,1.18E+01,,
729,6.65E+00,1.17E+01,,
730,6.57E+00,1.18E+01,,
731,6.65E+00,1.17E+01,,
732,6.57E+00,1.18E+01,,
733,6.65E+00,1.18E+01,,
734,6.57E+00,1.17E+01,,
735,6.65E+00,1.17E+01,,
736,6.57E+00,1.18E+01,,
737,6.65E+00,1.17E+01,,
738,6.65E+00,1.18E+01,,
739,6.57E+00,1.18E+01,,
740,6.65E+00,1.18E+01,,
741,6.57E+00,1.17E+01,,
742,6.65E+00,1.17E+01,,
743,6.57E+00,1.18E+01,,
744,6.65E+00,1.18E+01,,
745,6.57E+00,1.17E+01,,
746,6.65E+00,1.17E+01,,
747,6.57E+00,1.18E+01,,
748,6.65E+00,1.18E+01,,
749,6.61E+00,1.17E+01,,
750,6.65E+00,1.18E+01,,
751,6.57E+00,1.17E+01,,
752,6.61E+00,1.17E+01,,
753,6.65E+00,1.18E+01,,
754,6.57E+00,1.17E+01,,
755,6.65E+00,1.18E+01,,
756,6.57E+00,1.18E+01,,
757,6.65E+00,1.17E+01,,
758,6.65E+00,1.17E+01,,
759,6.57E+00,1.18E+01,,
760,6.65E+00,1.17E+01,,
761,6.57E+00,1.18E+01,,
762,6.65E+00,1.17E+01,,
763,6.57E+00,1.18E+01,,
764,6.57E+00,1.17E+01,,
